Event,Year,Team,Country,City,Sport,Age,Gender,Division,Seeding,Result,Games,Wins,Goals Scored,Goals Received,Offence Time,Offence Goals,Defence Time,Defence Goals,TOs,Spirit TOs,R: Rules,R: Fouls,R: Fair,R: Pos,R: Comm,R: Total,G: Rules,G: Fouls,G: Fair,G: Pos,G: Comm,G: Total
2019-PAUCC,2019,Shutdown,USA,,Ultimate,Grand Master,Open/Men,U-GM-M,,,6,4,74,58,,,,,,,2.33,2.33,2.67,3.00,2.33,12.66,,,,,,
2019-PAUCC,2019,Tombstone,CAN,,Ultimate,Grand Master,Open/Men,U-GM-M,,,6,5,89,42,,,,,,,2.17,2.17,2.33,2.50,2.17,11.34,,,,,,
2019-PAUCC,2019,Torontosaurus Rex,CAN,Toronto,Ultimate,Grand Master,Open/Men,U-GM-M,,,6,0,39,90,,,,,,,2.33,2.50,2.67,2.83,2.83,13.16,,,,,,
2019-PAUCC,2019,All Bashed Out,USA,New York,Ultimate,Master,Open/Men,U-M-M,,,8,8,120,49,,,,,,,2.38,2.38,2.75,2.75,2.50,12.76,,,,,,
2019-PAUCC,2019,Bayou Boys,USA,,Ultimate,Master,Open/Men,U-M-M,,,8,2,79,111,,,,,,,2.13,2.13,2.75,3.00,2.38,12.39,,,,,,
2019-PAUCC,2019,Beyondors,USA,,Ultimate,Master,Open/Men,U-M-M,,,8,4,91,85,,,,,,,2.13,2.13,2.75,2.75,2.63,12.39,,,,,,
2019-PAUCC,2019,NSOM,CAN,,Ultimate,Master,Open/Men,U-M-M,,,8,6,104,88,,,,,,,2.38,1.75,2.50,2.75,2.75,12.13,,,,,,
2019-PAUCC,2019,Yanomami,VEN,,Ultimate,Master,Open/Men,U-M-M,,,8,0,57,118,,,,,,,2.00,2.00,2.75,2.75,2.88,12.38,,,,,,
2019-PAUCC,2019,512,USA,,Ultimate,Master,Mixed,U-M-X,,,9,8,133,106,,,,,,,1.89,2.11,2.11,2.11,2.22,10.44,,,,,,
2019-PAUCC,2019,Distilled Fink,USA,,Ultimate,Master,Mixed,U-M-X,,,9,3,99,110,,,,,,,2.00,1.89,2.22,2.33,2.00,10.44,,,,,,
2019-PAUCC,2019,Happy Campers,CAN,,Ultimate,Master,Mixed,U-M-X,,,9,4,118,112,,,,,,,1.78,2.00,2.67,2.33,2.22,11.00,,,,,,
2019-PAUCC,2019,Molasses Disaster,USA,,Ultimate,Master,Mixed,U-M-X,,,9,6,125,107,,,,,,,2.11,2.33,2.56,2.67,2.67,12.34,,,,,,
2019-PAUCC,2019,Old Phoagies,USA,,Ultimate,Master,Mixed,U-M-X,,,9,4,111,109,,,,,,,1.89,1.89,2.22,2.11,1.78,9.89,,,,,,
2019-PAUCC,2019,San Francisco Bridge Club,USA,San Francisco,Ultimate,Master,Mixed,U-M-X,,,9,3,110,116,,,,,,,2.56,2.56,2.56,2.22,2.33,12.23,,,,,,
2019-PAUCC,2019,Unambiguously Grey,USA,,Ultimate,Master,Mixed,U-M-X,,,9,8,131,88,,,,,,,2.00,2.11,2.44,2.44,2.22,11.21,,,,,,
2019-PAUCC,2019,Virgin Islands Fever,ISV,,Ultimate,Master,Mixed,U-M-X,,,9,0,56,135,,,,,,,2.22,2.33,2.67,3.00,2.22,12.44,,,,,,
2019-PAUCC,2019,AIRE,COL,,Ultimate,All,Open/Men,U-A-M,,,9,5,108,104,,,,,,,1.89,2.00,1.89,2.22,2.22,10.22,,,,,,
2019-PAUCC,2019,Alberta Flatball Club,CAN,,Ultimate,All,Open/Men,U-A-M,,,8,7,116,87,,,,,,,1.88,2.00,2.38,2.38,2.25,10.89,,,,,,
2019-PAUCC,2019,Comunidad el Oso,COL,,Ultimate,All,Open/Men,U-A-M,,,9,9,130,85,,,,,,,1.89,1.89,2.00,2.00,2.22,10.00,,,,,,
