Event,Division,game time,Date,Time,Field,Stage,Game Detail,Team,Country,Opponent,Opponent Country,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2022-WJUC,U20-W,22-08-07 09:00,2022-08-07,09:00,,,,NZL U20 Women's,NZL,AUT U20 Women's,AUT,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,GER U20 Women's,GER,AUT U20 Women's,AUT,,,,,,2,3,3,2,3,13
2022-WJUC,U20-W,22-08-08 15:00,2022-08-08,15:00,,,,USA U20 Women's,USA,AUT U20 Women's,AUT,,,,,,2,2,3,3,3,13
2022-WJUC,U20-W,22-08-09 09:00,2022-08-09,09:00,,,,ITA U20 Women's,ITA,AUT U20 Women's,AUT,,,,,,2,2,2,2,3,11
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,GBR U20 Women's,GBR,AUT U20 Women's,AUT,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,POL U20 Women's,POL,AUT U20 Women's,AUT,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,CAN U20 Women's,CAN,AUT U20 Women's,AUT,,,,,,2,2,3,3,2,12
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,POL U20 Women's,POL,AUT U20 Women's,AUT,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,GER U20 Women's,GER,AUT U20 Women's,AUT,,,,,,2,2,3,2,3,12
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,GBR U20 Women's,GBR,CAN U20 Women's,CAN,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,POL U20 Women's,POL,CAN U20 Women's,CAN,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-08 17:00,2022-08-08,17:00,,,,CZE U20 Women's,CZE,CAN U20 Women's,CAN,,,,,,2,2,3,2,2,11
2022-WJUC,U20-W,22-08-09 11:00,2022-08-09,11:00,,,,FRA U20 Women's,FRA,CAN U20 Women's,CAN,,,,,,2,1,2,2,2,9
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,GER U20 Women's,GER,CAN U20 Women's,CAN,,,,,,1,2,2,2,3,10
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,ITA U20 Women's,ITA,CAN U20 Women's,CAN,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,AUT U20 Women's,AUT,CAN U20 Women's,CAN,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-11 11:00,2022-08-11,11:00,,,,NZL U20 Women's,NZL,CAN U20 Women's,CAN,,,,,,1,1,2,2,2,8
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,USA U20 Women's,USA,CAN U20 Women's,CAN,,,,,,2,1,1,2,2,8
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,ITA U20 Women's,ITA,CAN U20 Women's,CAN,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-07 09:00,2022-08-07,09:00,,,,FRA U20 Women's,FRA,CZE U20 Women's,CZE,,,,,,2,1,3,2,2,10
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,GBR U20 Women's,GBR,CZE U20 Women's,CZE,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-08 17:00,2022-08-08,17:00,,,,CAN U20 Women's,CAN,CZE U20 Women's,CZE,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-09 11:00,2022-08-09,11:00,,,,POL U20 Women's,POL,CZE U20 Women's,CZE,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,NZL U20 Women's,NZL,CZE U20 Women's,CZE,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,USA U20 Women's,USA,CZE U20 Women's,CZE,,,,,,2,3,2,2,3,12
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,FRA U20 Women's,FRA,CZE U20 Women's,CZE,,,,,,2,2,3,3,2,12
2022-WJUC,U20-W,22-08-11 11:00,2022-08-11,11:00,,,,ITA U20 Women's,ITA,CZE U20 Women's,CZE,,,,,,2,1,2,1,1,7
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,NZL U20 Women's,NZL,CZE U20 Women's,CZE,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-07 09:00,2022-08-07,09:00,,,,CZE U20 Women's,CZE,FRA U20 Women's,FRA,,,,,,1,2,3,3,2,11
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,POL U20 Women's,POL,FRA U20 Women's,FRA,,,,,,2,1,2,3,2,10
2022-WJUC,U20-W,22-08-08 17:00,2022-08-08,17:00,,,,GBR U20 Women's,GBR,FRA U20 Women's,FRA,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-09 11:00,2022-08-09,11:00,,,,CAN U20 Women's,CAN,FRA U20 Women's,FRA,,,,,,2,1,2,2,2,9
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,USA U20 Women's,USA,FRA U20 Women's,FRA,,,,,,1,1,2,2,2,8
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,NZL U20 Women's,NZL,FRA U20 Women's,FRA,,,,,,2,2,3,2,2,11
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,CZE U20 Women's,CZE,FRA U20 Women's,FRA,,,,,,2,1,2,3,2,10
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,ITA U20 Women's,ITA,FRA U20 Women's,FRA,,,,,,2,2,2,2,1,9
2022-WJUC,U20-W,22-08-13 11:30,2022-08-13,11:30,,,,USA U20 Women's,USA,FRA U20 Women's,FRA,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-06 17:00,2022-08-06,17:00,,,,POL U20 Women's,POL,GBR U20 Women's,GBR,,,,,,2,2,3,3,3,13
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,CAN U20 Women's,CAN,GBR U20 Women's,GBR,,,,,,2,3,2,2,2,11
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,CZE U20 Women's,CZE,GBR U20 Women's,GBR,,,,,,2,2,3,2,3,12
2022-WJUC,U20-W,22-08-08 17:00,2022-08-08,17:00,,,,FRA U20 Women's,FRA,GBR U20 Women's,GBR,,,,,,2,3,3,3,3,14
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,AUT U20 Women's,AUT,GBR U20 Women's,GBR,,,,,,2,2,3,2,3,12
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,GER U20 Women's,GER,GBR U20 Women's,GBR,,,,,,1,2,2,3,2,10
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,ITA U20 Women's,ITA,GBR U20 Women's,GBR,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,GER U20 Women's,GER,GBR U20 Women's,GBR,,,,,,1,2,2,3,2,10
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,POL U20 Women's,POL,GBR U20 Women's,GBR,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-07 09:00,2022-08-07,09:00,,,,ITA U20 Women's,ITA,GER U20 Women's,GER,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,USA U20 Women's,USA,GER U20 Women's,GER,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,AUT U20 Women's,AUT,GER U20 Women's,GER,,,,,,2,2,3,2,3,12
2022-WJUC,U20-W,22-08-08 17:00,2022-08-08,17:00,,,,NZL U20 Women's,NZL,GER U20 Women's,GER,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,CAN U20 Women's,CAN,GER U20 Women's,GER,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,GBR U20 Women's,GBR,GER U20 Women's,GER,,,,,,2,1,2,2,3,10
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,POL U20 Women's,POL,GER U20 Women's,GER,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,GBR U20 Women's,GBR,GER U20 Women's,GER,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,AUT U20 Women's,AUT,GER U20 Women's,GER,,,,,,2,2,4,3,2,13
2022-WJUC,U20-W,22-08-07 09:00,2022-08-07,09:00,,,,GER U20 Women's,GER,ITA U20 Women's,ITA,,,,,,2,1,2,2,3,10
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,NZL U20 Women's,NZL,ITA U20 Women's,ITA,,,,,,2,1,1,2,2,8
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,USA U20 Women's,USA,ITA U20 Women's,ITA,,,,,,2,2,2,2,3,11
2022-WJUC,U20-W,22-08-09 09:00,2022-08-09,09:00,,,,AUT U20 Women's,AUT,ITA U20 Women's,ITA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,POL U20 Women's,POL,ITA U20 Women's,ITA,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,CAN U20 Women's,CAN,ITA U20 Women's,ITA,,,,,,1,1,2,2,2,8
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,GBR U20 Women's,GBR,ITA U20 Women's,ITA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-11 11:00,2022-08-11,11:00,,,,CZE U20 Women's,CZE,ITA U20 Women's,ITA,,,,,,1,0,0,2,1,4
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,FRA U20 Women's,FRA,ITA U20 Women's,ITA,,,,,,2,2,1,1,1,7
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,CAN U20 Women's,CAN,ITA U20 Women's,ITA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-07 09:00,2022-08-07,09:00,,,,AUT U20 Women's,AUT,NZL U20 Women's,NZL,,,,,,2,2,3,3,3,13
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,ITA U20 Women's,ITA,NZL U20 Women's,NZL,,,,,,2,2,3,2,2,11
2022-WJUC,U20-W,22-08-08 17:00,2022-08-08,17:00,,,,GER U20 Women's,GER,NZL U20 Women's,NZL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-09 09:00,2022-08-09,09:00,,,,USA U20 Women's,USA,NZL U20 Women's,NZL,,,,,,1,2,2,2,3,10
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,CZE U20 Women's,CZE,NZL U20 Women's,NZL,,,,,,2,3,3,3,4,15
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,FRA U20 Women's,FRA,NZL U20 Women's,NZL,,,,,,2,2,3,2,2,11
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,USA U20 Women's,USA,NZL U20 Women's,NZL,,,,,,2,3,2,3,2,12
2022-WJUC,U20-W,22-08-11 11:00,2022-08-11,11:00,,,,CAN U20 Women's,CAN,NZL U20 Women's,NZL,,,,,,2,2,3,2,2,11
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,CZE U20 Women's,CZE,NZL U20 Women's,NZL,,,,,,2,2,3,3,3,13
2022-WJUC,U20-W,22-08-06 17:00,2022-08-06,17:00,,,,GBR U20 Women's,GBR,POL U20 Women's,POL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,FRA U20 Women's,FRA,POL U20 Women's,POL,,,,,,2,2,3,3,2,12
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,CAN U20 Women's,CAN,POL U20 Women's,POL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-09 11:00,2022-08-09,11:00,,,,CZE U20 Women's,CZE,POL U20 Women's,POL,,,,,,1,1,1,1,1,5
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,ITA U20 Women's,ITA,POL U20 Women's,POL,,,,,,2,2,2,1,2,9
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,AUT U20 Women's,AUT,POL U20 Women's,POL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,GER U20 Women's,GER,POL U20 Women's,POL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,AUT U20 Women's,AUT,POL U20 Women's,POL,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-12 15:00,2022-08-12,15:00,,,,GBR U20 Women's,GBR,POL U20 Women's,POL,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-07 15:00,2022-08-07,15:00,,,,GER U20 Women's,GER,USA U20 Women's,USA,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-08 11:00,2022-08-08,11:00,,,,ITA U20 Women's,ITA,USA U20 Women's,USA,,,,,,2,2,3,1,2,10
2022-WJUC,U20-W,22-08-08 15:00,2022-08-08,15:00,,,,AUT U20 Women's,AUT,USA U20 Women's,USA,,,,,,2,2,3,3,2,12
2022-WJUC,U20-W,22-08-09 09:00,2022-08-09,09:00,,,,NZL U20 Women's,NZL,USA U20 Women's,USA,,,,,,1,2,2,2,2,9
2022-WJUC,U20-W,22-08-09 17:00,2022-08-09,17:00,,,,FRA U20 Women's,FRA,USA U20 Women's,USA,,,,,,2,2,3,2,2,11
2022-WJUC,U20-W,22-08-10 11:00,2022-08-10,11:00,,,,CZE U20 Women's,CZE,USA U20 Women's,USA,,,,,,2,2,2,3,3,12
2022-WJUC,U20-W,22-08-10 17:00,2022-08-10,17:00,,,,NZL U20 Women's,NZL,USA U20 Women's,USA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-12 09:00,2022-08-12,09:00,,,,CAN U20 Women's,CAN,USA U20 Women's,USA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-W,22-08-13 11:30,2022-08-13,11:30,,,,FRA U20 Women's,FRA,USA U20 Women's,USA,,,,,,2,2,3,2,2,11
