Event,Division,game time,Date,Time,Field,Stage,Game Detail,Team,Country,Opponent,Opponent Country,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2022-WJUC,U20-X,22-08-09 17:00,2022-08-09,17:00,,,,HUN U20 Mixed,HUN,SUI U20 Mixed,SUI,,,,,,3,2,2,2,3,12
2022-WJUC,U20-X,22-08-10 11:00,2022-08-10,11:00,,,,HUN U20 Mixed,HUN,SUI U20 Mixed,SUI,,,,,,3,1,2,1,3,10
2022-WJUC,U20-X,22-08-11 09:00,2022-08-11,09:00,,,,SWE U20 Mixed,SWE,SUI U20 Mixed,SUI,,,,,,2,1,1,2,2,8
2022-WJUC,U20-X,22-08-12 19:00,2022-08-12,19:00,,,,HUN U20 Mixed,HUN,SUI U20 Mixed,SUI,,,,,,2,2,2,3,2,11
2022-WJUC,U20-X,22-08-07 11:00,2022-08-07,11:00,,,,COL U20 Mixed,COL,SVK U20 Mixed,SVK,,,,,,2,1,3,2,2,10
2022-WJUC,U20-X,22-08-07 17:00,2022-08-07,17:00,,,,HUN U20 Mixed,HUN,SVK U20 Mixed,SVK,,,,,,2,1,3,2,3,11
2022-WJUC,U20-X,22-08-08 09:00,2022-08-08,09:00,,,,SUI U20 Mixed,SUI,SVK U20 Mixed,SVK,,,,,,2,2,2,3,3,12
2022-WJUC,U20-X,22-08-08 13:00,2022-08-08,13:00,,,,NED U20 Mixed,NED,SVK U20 Mixed,SVK,,,,,,1,2,2,3,3,11
2022-WJUC,U20-X,22-08-09 09:00,2022-08-09,09:00,,,,ISR U20 Mixed,ISR,SVK U20 Mixed,SVK,,,,,,2,2,2,2,3,11
2022-WJUC,U20-X,22-08-09 15:00,2022-08-09,15:00,,,,SWE U20 Mixed,SWE,SVK U20 Mixed,SVK,,,,,,1,2,2,2,3,10
2022-WJUC,U20-X,22-08-10 13:00,2022-08-10,13:00,,,,COL U20 Mixed,COL,SVK U20 Mixed,SVK,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-11 11:00,2022-08-11,11:00,,,,NED U20 Mixed,NED,SVK U20 Mixed,SVK,,,,,,2,2,3,2,3,12
2022-WJUC,U20-X,22-08-11 17:00,2022-08-11,17:00,,,,ISR U20 Mixed,ISR,SVK U20 Mixed,SVK,,,,,,2,2,2,3,3,12
2022-WJUC,U20-X,22-08-07 09:00,2022-08-07,09:00,,,,NED U20 Mixed,NED,SWE U20 Mixed,SWE,,,,,,2,1,2,2,2,9
2022-WJUC,U20-X,22-08-07 13:00,2022-08-07,13:00,,,,HUN U20 Mixed,HUN,SWE U20 Mixed,SWE,,,,,,2,1,2,2,2,9
2022-WJUC,U20-X,22-08-08 09:00,2022-08-08,09:00,,,,ISR U20 Mixed,ISR,SWE U20 Mixed,SWE,,,,,,2,2,2,3,3,12
2022-WJUC,U20-X,22-08-08 15:00,2022-08-08,15:00,,,,SUI U20 Mixed,SUI,SWE U20 Mixed,SWE,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-09 09:00,2022-08-09,09:00,,,,COL U20 Mixed,COL,SWE U20 Mixed,SWE,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-09 15:00,2022-08-09,15:00,,,,SVK U20 Mixed,SVK,SWE U20 Mixed,SWE,,,,,,2,2,2,2,2,10
2022-WJUC,U20-X,22-08-11 09:00,2022-08-11,09:00,,,,SUI U20 Mixed,SUI,SWE U20 Mixed,SWE,,,,,,2,1,1,3,2,9
2022-WJUC,U20-X,22-08-11 17:00,2022-08-11,17:00,,,,HUN U20 Mixed,HUN,SWE U20 Mixed,SWE,,,,,,2,0,1,2,2,7
2022-WJUC,U20-X,22-08-12 13:00,2022-08-12,13:00,,,,COL U20 Mixed,COL,SWE U20 Mixed,SWE,,,,,,1,1,1,1,1,5
2022-WJUC,U20-M,22-08-07 11:00,2022-08-07,11:00,,,,GBR U20 Open,GBR,AUT U20 Open,AUT,,,,,,2,2,2,2,3,11
2022-WJUC,U20-M,22-08-07 17:00,2022-08-07,17:00,,,,GER U20 Open,GER,AUT U20 Open,AUT,,,,,,2,1,2,3,2,10
2022-WJUC,U20-M,22-08-08 11:00,2022-08-08,11:00,,,,COL U20 Open,COL,AUT U20 Open,AUT,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-08 17:00,2022-08-08,17:00,,,,FRA U20 Open,FRA,AUT U20 Open,AUT,,,,,,2,2,3,2,3,12
2022-WJUC,U20-M,22-08-09 13:00,2022-08-09,13:00,,,,USA U20 Open,USA,AUT U20 Open,AUT,,,,,,2,3,3,3,3,14
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,NZL U20 Open,NZL,AUT U20 Open,AUT,,,,,,2,2,4,3,2,13
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,BEL U20 Open,BEL,AUT U20 Open,AUT,,,,,,2,2,3,2,3,12
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,GER U20 Open,GER,AUT U20 Open,AUT,,,,,,2,2,3,2,3,12
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,BEL U20 Open,BEL,AUT U20 Open,AUT,,,,,,2,3,3,4,3,15
2022-WJUC,U20-M,22-08-07 09:00,2022-08-07,09:00,,,,POL U20 Open,POL,BEL U20 Open,BEL,,,,,,2,3,2,2,2,11
2022-WJUC,U20-M,22-08-07 13:00,2022-08-07,13:00,,,,ITA U20 Open,ITA,BEL U20 Open,BEL,,,,,,2,2,2,2,3,11
2022-WJUC,U20-M,22-08-08 13:00,2022-08-08,13:00,,,,NZL U20 Open,NZL,BEL U20 Open,BEL,,,,,,2,2,2,3,3,12
2022-WJUC,U20-M,22-08-09 11:00,2022-08-09,11:00,,,,CAN U20 Open,CAN,BEL U20 Open,BEL,,,,,,2,2,3,2,3,12
2022-WJUC,U20-M,22-08-09 17:00,2022-08-09,17:00,,,,CZE U20 Open,CZE,BEL U20 Open,BEL,,,,,,2,3,2,3,2,12
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,COL U20 Open,COL,BEL U20 Open,BEL,,,,,,2,2,2,2,3,11
